"first_create_date_utc","fbx_diff","d_quote_search_amount","conversion_rate","peak_season","daily_container_quanity"
"2020-09-17","2525","585","88.21",1,"11"
"2020-09-16","2525","658","91.19",1,"18"
"2020-09-15","2349","801","88.64",1,"25"
"2020-09-14","2325","784","87.12",1,"7"
"2020-09-13","2325","0","",1,"0"
"2020-09-12","2325","0","",1,"0"
"2020-09-11","2325","666","87.39",1,"5"
"2020-09-10","2413","721","91.54",1,"2"
"2020-09-09","2468","824","88.71",1,"14"
"2020-09-08","1979","934","90.26",1,"21"
"2020-09-07","1959","1098","85.88",1,"12"
"2020-09-06","1959","0","",1,"0"
"2020-09-05","1959","0","",1,"0"
"2020-09-04","2025","1273","87.82",1,"41"
"2020-09-03","1896","1471","87.02",1,"10"
"2020-09-02","1896","1359","85.21",1,"16"
"2020-09-01","1013","1429","87.75",1,"28"
"2020-08-31","637","1134","89.68",1,"19"
"2020-08-30","637","0","",1,"0"
"2020-08-29","637","0","",1,"0"
"2020-08-28","693","1334","88.98",1,"14"
"2020-08-27","500","1344","89.88",1,"22"
"2020-08-26","652","1135","88.99",1,"51"
"2020-08-25","348","1144","91.35",1,"22"
"2020-08-24","411","920","90.33",1,"5"
"2020-08-23","428","0","",1,"0"
"2020-08-22","428","0","",1,"0"
"2020-08-21","355","1132","91.87",1,"35"
"2020-08-20","291","1443","91.06",1,"23"
"2020-08-19","397","1488","88.78",1,"68"
"2020-08-18","-144","1170","90.09",1,"42"
"2020-08-17","-241","753","90.97",1,"7"
"2020-08-16","-241","0","",1,"0"
"2020-08-15","-356","17","64.71",1,"1"
"2020-08-14","-339","616","89.77",1,"8"
"2020-08-13","-319","720","90.97",1,"21"
"2020-08-12","-319","770","90.91",1,"38"
"2020-08-11","-330","704","92.19",1,"19"
"2020-08-10","-396","704","87.93",1,"13"
"2020-08-09","-396","0","",1,"0"
"2020-08-08","-396","0","",1,"0"
"2020-08-07","-423","942","91.19",1,"24"
"2020-08-06","-369","1051","94.29",1,"36"
"2020-08-05","-415","863","91.19",1,"22"
"2020-08-04","-440","913","91.89",1,"37"
"2020-08-03","-624","941","92.24",1,"24"
"2020-08-02","-611","0","",1,"0"
"2020-08-01","-692","0","",1,"0"
"2020-07-31","-606","801","88.64",0,"19"
"2020-07-30","-735","848","87.15",0,"22"
"2020-07-29","-610","811","89.15",0,"25"
"2020-07-28","-695","836","90.19",0,"39"
"2020-07-27","-764","721","88.07",0,"23"
"2020-07-26","-771","0","",0,"0"
"2020-07-25","-771","0","",0,"0"
"2020-07-24","-785","905","95.69",0,"39"
"2020-07-23","-797","599","89.82",0,"19"
"2020-07-22","-749","596","89.60",0,"6"
"2020-07-21","-804","468","92.95",0,"26"
"2020-07-20","-551","471","93.21",0,"9"
"2020-07-19","-637","17","70.59",0,"1"
"2020-07-18","-637","0","",0,"0"
"2020-07-17","-514","343","94.46",0,"6"
"2020-07-16","-682","408","95.10",0,"10"
"2020-07-15","-651","345","91.30",0,"10"
"2020-07-14","-878","413","83.05",0,"5"
"2020-07-13","-878","0","",0,"0"
"2020-07-12","-876","0","",0,"0"
"2020-07-11","-876","0","",0,"0"
"2020-07-10","-874","433","85.91",0,"6"
"2020-07-09","-808","563","88.81",0,"9"
"2020-07-08","-883","468","83.97",0,"5"
"2020-07-07","-835","448","91.07",0,"11"
"2020-07-06","-876","434","95.39",0,"4"
"2020-07-05","-876","0","",0,"0"
"2020-07-04","-876","0","",0,"0"
"2020-07-03","-876","476","95.17",0,"24"
"2020-07-02","-897","412","94.17",0,"7"
"2020-07-01","-659","386","93.26",0,"1"
"2020-06-30","-789","531","92.66",0,"13"
"2020-06-29","-814","373","95.98",0,"8"
"2020-06-28","-770","278","95.68",0,"9"
"2020-06-27","-770","0","",0,"0"
"2020-06-26","-770","0","",0,"0"
"2020-06-25","-753","0","",0,"0"
"2020-06-24","-753","230","93.91",0,"2"
"2020-06-23","-882","355","93.80",0,"5"
"2020-06-22","-860","607","98.19",0,"17"
"2020-06-21","-745","0","",0,"0"
"2020-06-20","-744","0","",0,"0"
"2020-06-19","-827","351","91.17",0,"19"
"2020-06-18","-644","293","94.54",0,"9"
"2020-06-17","-596","438","94.29",0,"9"
"2020-06-16","-515","380","88.95",0,"8"
"2020-06-15","-666","251","89.64",0,"3"
"2020-06-14","-666","0","",0,"0"
"2020-06-13","-666","0","",0,"0"
"2020-06-12","-666","393","92.11",0,"15"
"2020-06-11","-548","284","89.79",0,"7"
"2020-06-10","-548","309","92.88",0,"5"
"2020-06-09","-488","404","91.83",0,"10"
"2020-06-08","-408","369","90.24",0,"5"
"2020-06-07","-408","0","",0,"0"
"2020-06-06","-408","0","",0,"0"
"2020-06-05","-447","341","88.56",0,"8"
"2020-06-04","-316","348","94.83",0,"9"
"2020-06-03","-274","251","88.05",0,"2"
"2020-06-02","-274","0","",0,"0"
"2020-06-01","-139","134","85.07",0,"1"
"2020-05-31","-323","0","",0,"0"
"2020-05-30","-323","0","",0,"0"
"2020-05-29","-323","217","83.41",0,"2"
"2020-05-28","-370","235","86.38",0,"5"
"2020-05-27","-335","188","78.19",0,"1"
"2020-05-26","-431","0","",0,"0"
"2020-05-25","-351","0","",0,"0"
"2020-05-24","-351","0","",0,"0"
"2020-05-23","-351","0","",0,"0"
"2020-05-22","-351","0","",0,"0"
"2020-05-21","-367","193","86.53",0,"2"
"2020-05-20","-367","0","",0,"0"
"2020-05-19","-439","0","",0,"0"
"2020-05-18","-513","285","85.26",0,"1"
"2020-05-17","-551","0","",0,"0"
"2020-05-16","-551","0","",0,"0"
"2020-05-15","-551","659","55.69",0,"1"
"2020-05-14","-589","1480","52.57",0,"1"
"2020-05-13","-545","1650","77.15",0,"1"
"2020-05-12","-545","1826","84.83",0,"16"
"2020-05-11","-545","1413","86.55",0,"8"
"2020-05-10","-548","0","",0,"0"
